	10507	10525	10571	41101	41239	75151	42055	10707	10849	31046
price	1889	2239	1245	4983	5319	7408	10443	251	251	804
techport.ru	3296	3231	2151	8307		9128	17336	510	510	1413
mytoys.ru	3149	3499	1899	7999	7299		17079	369	369	1299
eldorado.ru			1799		5789		14479	359	249	
helptomama.ru	3061	3647		8106				426		1215
dochkisinochki.ru	2658	3149	1624	7019	7500		13819	324	350	1035
korablik.ru	3399	3499	1999	7999	7199		15999	399	499	1299
le-go.ru	3190	3790	1990	7890	6990	7790	14890	390	390	1390
auchan.ru				7449		8505	19434	225	225	
pokupalkin.ru	2699	3199	1669	7119		7490		399	260	1306
7bricks.ru	2349	2799	1779	6899	6399	8339	12499	399	379	1089
babybrick.ru	2990	3199	1779	7119	6399	8339	14919	399	379	1290
babadu.ru	3295		2170		12040	8680	17360	445	445	
elc-russia.ru	2669	3149	1689	6779	5789	5389	13819	219	399	989
wildberries.ru				8208	6561		16767			
ozon.ru	2657	3259	1809	7290	7090	7990	15290	343	363	1109
i-brick.ru	2990	3490	1790	7990	6990	7990	16990	380	340	899
legoneva.ru	3248	3847	2279	8549	7257	8549		427	427	1282
toypiter.ru	3799	3350		7499		7300	15400	499		
mir-kubikov.ru	3399	3999	1749	9999	3649	7699	17499	299	299	1299
lego.detmir.ru	2669	3149	1689	6779	5789	5389	13809	209	219	989
